from,to
UL,CDU
UL,500
LK,SPD
LK,500
NR,CDU
NR,500
SW,Linke
SW,500
CS,500
CL,FDP
CL,501
NR,CDU
NR,501
KS,501
LM,501
KD,501
AB,Gruene
AB,502
FT,502
AM,502
AGL,FDP
AGL,502
ER,502
RH,Gruene
RH,503
LK,SPD
LK,503
CM,503
KP,503
RK,CDU
RK,503
